original_index,track_name,,,
26,Battery (Remastered),,,
27,Master of Puppets (Remastered),,,
31,Only You (And You Alone),,,
47,Walk This Way (feat. Aerosmith),,,
52,Orion (Remastered),,,
97,Welcome Home (Sanitarium) (Remastered),,,
100,The Next Time I Fall (with Amy Grant),,,
122,Master Of Puppets (Remastered),,,
125,Disposable Heroes (Remastered),,,
138,The Thing That Should Not Be (Remastered),,,
142,Real Wild Child (Wild One),,,
159,Funny How Time Flies (When You're Having Fun),,,
183,Leper Messiah (Remastered),,,
189,Battery (Remastered),,,
194,Don't Leave Me This Way (with Sarah Jane Morris),,,
196,Welcome Home (Sanitarium) (Remastered),,,
201,I Know What I Know (with General M.D.Shirinda & The Gaza Sisters),,,
203,The Thing That Should Not Be (Remastered),,,
219,Disposable Heroes (Remastered),,,
221,"Damage, Inc. (Remastered)",,,
245,Orion (Remastered),,,
251,40 Hour Week (For A Livin'),,,
260,Leper Messiah (Remastered),,,
283,Why Does It Have to Be (Wrong or Right),,,
287,For Those About to Rock (We Salute You),,,
297,Baby Grand (with Ray Charles),,,
298,"Damage, Inc. (Remastered)",,,
311,Dude (Looks Like A Lady),,,
330,It's The End Of The World As We Know It (And I Feel Fine),,,
346,I Wanna Dance with Somebody (Who Loves Me),,,
353,Make It Last Forever (with Jacci McGhee),,,
503,I Want Your (Hands on Me),,,
621,Blackened (Remastered),,,
637,One (Remastered),,,
673,Harvester of Sorrow (Remastered),,,
675,Teen Age Riot (Album Version),,,
694,...And Justice for All (Remastered),,,
699,Don't Know What You Got (Till It's Gone),,,
709,Off on Your Own (Girl),,,
710,Separate Ways (Worlds Apart),,,
713,You Got It (The Right Stuff),,,
742,Dyers Eve (Remastered),,,
750,Eye of the Beholder (Remastered),,,
771,To Live Is to Die (Remastered),,,
776,The Shortest Straw (Remastered),,,
778,One (Remastered),,,
782,What's on Your Mind (Pure Energy),,,
797,I'll Be Loving You (Forever),,,
801,"No Pain, (No Gain)",,,
803,Blackened (Remastered),,,
807,Eye of the Beholder (Remastered),,,
813,The Shortest Straw (Remastered),,,
832,Catch Me (I'm Falling),,,
853,...And Justice for All (Remastered),,,
855,"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",,,
858,The Frayed Ends of Sanity (Remastered),,,
872,The Frayed Ends of Sanity (Remastered),,,
882,Buttermilk Biscuits (Keep On Square Dancin'),,,
909,Same Ol' Situation (S.O.S.),,,
952,Don't Know Much (with Aaron Neville),,,
959,After All (Love Theme From Chances Are),,,
983,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",,,
991,Major Tom (Coming Home),,,
1041,It Had to Be You (Big Band and Vocals),,,
1116,Love Will Never Do (Without You),,,
1134,Loco (Tu Forma De Ser),,,
1147,Dat Dere (Theme),,,
1153,Young Love (Strong Love),,,
1159,The King Is Gone (So Are You),,,
1171,Heaven's Trail (No Way Out),,,
1172,The Secret Garden (Sweet Seduction Suite),,,
1237,Istanbul (Not Constantinople),,,
1246,Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),delete,,
1250,"It's Been a Long, Long Time (with Harry James & His Orchestra)",,,
1363,I Like the Way (The Kissing Game),,,
1380,21st Century (Digital Boy),,,
1385,It Never Rains (In Southern California),,,
1445,I'd Be Better Off (In A Pine Box),,,
1449,Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise),colon issue,,
1474,Me va a extrañar (aka Unchain My Heart),,,
1550,"It's Been a Long, Long Time (with Harry James & His Orchestra)",,,
1663,I Like the Way (The Kissing Game),,,
1680,21st Century (Digital Boy),,,
1685,It Never Rains (In Southern California),,,
1745,I'd Be Better Off (In A Pine Box),,,
1749,Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise),,,
1800,Here's a Quarter (Call Someone Who Cares),,,
1814,Wherever I May Roam (Remastered),,,
1820,Sad But True (Remastered),,,
1822,Enter Sandman (Remastered),,,
1838,It's Five O'Clock Somewhere (with Jimmy Buffett),,,
1844,The Unforgiven (Remastered),,,
1847,Nothing Else Matters (Remastered),,,
1848,Don't Cry (Original),,,
1865,Don't Tread on Me (Remastered),,,
1882,The Choice Is Yours (Revisited),,,
1885,Jazz (We've Got),,,
1898,Breakin' My Heart (Pretty Brown Eyes),,,
1905,The Shoop Shoop Song (It's In His Kiss),,,
1910,Leather and Lace (with Don Henley),,,
1919,Holier Than Thou (Remastered),,,
1935,Rica y Apretadita (feat. Anayka),,,
1951,The God That Failed (Remastered),,,
1961,Of Wolf and Man (Remastered),,,
1967,My Friend of Misery (Remastered),,,
1987,The Whiskey Ain't Workin' (feat. Marty Stuart),,,
1990,Through the Never (Remastered),,,
2038,"Lieder ohne Worte (Songs without Words), Book 1, Op. 19b: Lied ohne Worte (Song without Words) No. 6 in G Minor, Op. 19, No. 6, ""Venezianisches Gondellied"" (Venetian Gondola Song)",,,
2089,We Don't Need Another Hero (Thunderdome),,,
2126,Fuck Wit Dre Day (And Everybody's Celebratin'),,,
2162,I'm in a Hurry (And Don't Know Why),,,
2195,They Reminisce Over You (T.R.O.Y.),,,
2244,My Lovin' (You're Never Gonna Get It),,,
2275,"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",,,
2383,The Chronic (Intro),,,
2412,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",,,colon issue
